X,Y
0,3605.0
1,9920316.0
2,2.297433E7
3,3.9291016E7
4,5.952534E7
5,8.4323224E7
6,1.15431344E8
7,1.5044072E8
8,1.90253696E8
9,2.3548432E8
10,2.85932512E8
11,3.44573216E8
12,4.09244512E8
13,4.79878336E8
14,5.572233E8
15,6.465639E8
16,7.3563373E8
17,8.3736858E8
18,9.4262918E8
19,1.05499814E9
20,1.18338534E9
21,1.30551693E9
22,1.4509335E9
23,1.5868265E9
24,1.73592486E9
25,1.89915776E9
26,2.06651904E9
27,2.2463063E9
28,2.41312998E9
29,2.61582592E9
30,2.82804762E9
31,3.02613478E9
32,3.24383411E9
33,3.44724326E9
34,3.70416102E9
35,3.9475881E9
36,4.17499443E9
37,4.4240937E9
38,4.6599716E9
39,4.948673E9
40,5.2173158E9
41,5.4938481E9
42,5.7650273E9
43,6.0695813E9
44,6.3508511E9
45,6.6905887E9
46,7.0050698E9
47,7.3340232E9
48,7.6191683E9
49,7.976042E9
50,8.3016479E9
