X,Y
0,417.0
1,9211404.0
2,2.2506308E7
3,4.013596E7
4,6.2425156E7
5,8.9843096E7
6,1.23892048E8
7,1.63588832E8
8,2.10340016E8
9,2.6236056E8
10,3.22555296E8
11,3.90828416E8
12,4.69416832E8
13,5.5231264E8
14,6.4518189E8
15,7.4504531E8
16,8.5605248E8
17,9.6941062E8
18,1.09430618E9
19,1.23359693E9
20,1.38236006E9
21,1.53482214E9
22,1.69776218E9
23,1.86885709E9
24,2.05917939E9
25,2.2428311E9
26,2.45022259E9
27,2.65544653E9
28,2.88423245E9
29,3.11151821E9
30,3.33572045E9
31,3.6025257E9
32,3.84587878E9
33,4.10590976E9
34,4.3830543E9
35,4.6850708E9
36,4.983914E9
37,5.2947512E9
38,5.5801779E9
39,5.9183508E9
40,6.2559754E9
41,6.5831127E9
42,6.9128376E9
43,7.292268E9
44,7.6400097E9
45,8.010645E9
46,8.388501E9
47,8.7973069E9
48,9.1569603E9
49,9.5950694E9
50,1.00208302E10
