X,Y
0,0.0
1,1.6738797E7
2,3.7788008E7
3,5.989904E7
4,7.9982936E7
5,1.084064E8
6,1.38669856E8
7,1.67375664E8
8,2.03561136E8
9,2.3813936E8
10,2.78143648E8
11,3.20478624E8
12,3.71299104E8
13,4.1756928E8
14,4.6845584E8
15,5.33981376E8
16,5.9242029E8
17,6.5314061E8
18,7.1999744E8
19,8.0336448E8
20,8.6687923E8
21,9.5999123E8
22,1.03688243E9
23,1.13096179E9
24,1.22404326E9
25,1.32177574E9
26,1.43284992E9
27,1.53597235E9
28,1.64651187E9
29,1.75449933E9
30,1.86866803E9
31,1.99467405E9
32,2.13341248E9
33,2.2609536E9
34,2.37802829E9
35,2.54796211E9
36,2.70804813E9
37,2.82023168E9
38,2.97239936E9
39,3.13043251E9
40,3.2786025E9
41,3.46960077E9
42,3.62685158E9
43,3.8086185E9
44,3.95568691E9
45,4.1537984E9
46,4.3384156E9
47,4.4580803E9
48,4.701355E9
49,4.8850601E9
50,5.0702413E9
