X,Y
0,14458.0
1,2651729.0
2,6554057.0
3,1.2629368E7
4,2.0190446E7
5,3.01439E7
6,4.1076484E7
7,5.597246E7
8,7.2920216E7
9,9.1157328E7
10,1.1499948E8
11,1.38475632E8
12,1.66870432E8
13,1.98015152E8
14,2.3215624E8
15,2.70027456E8
16,3.08063104E8
17,3.57259904E8
18,4.03785024E8
19,4.51243264E8
20,5.07044224E8
21,5.608249E8
22,6.2182189E8
23,6.8753613E8
24,7.5554963E8
25,8.253943E8
26,9.0850784E8
27,9.829952E8
28,1.05678323E9
29,1.15112627E9
30,1.23607424E9
31,1.31962061E9
32,1.43824486E9
33,1.53682163E9
34,1.62818419E9
35,1.74944794E9
36,1.83776717E9
37,1.96597939E9
38,2.06043213E9
39,2.20504704E9
40,2.33129242E9
41,2.42029005E9
42,2.57613875E9
43,2.69634458E9
44,2.82128614E9
45,2.98129229E9
46,3.16142746E9
47,3.26402893E9
48,3.43367808E9
49,3.57812915E9
50,3.72004429E9
