X,Y
0,0.0
1,6907490.0
2,1.9604016E7
3,3.9398152E7
4,6.6650856E7
5,1.03913664E8
6,1.47093648E8
7,2.02360672E8
8,2.66817904E8
9,3.43866624E8
10,4.318448E8
11,5.31337536E8
12,6.4149626E8
13,7.7337606E8
14,9.0990605E8
15,1.06025459E9
16,1.22728256E9
17,1.4047543E9
18,1.59468864E9
19,1.81520243E9
20,2.03710106E9
21,2.27305267E9
22,2.53573683E9
23,2.80754125E9
24,3.07381555E9
25,3.37363456E9
26,3.68296013E9
27,4.02782259E9
28,4.3605939E9
29,4.7175516E9
30,5.0977628E9
31,5.4890578E9
32,5.8770668E9
33,6.2994908E9
34,6.7317238E9
35,7.2025068E9
36,7.6525834E9
37,8.1329444E9
38,8.619604E9
39,9.0962842E9
40,9.6469996E9
41,1.01383526E10
42,1.07503176E10
43,1.12911124E10
44,1.1852842E10
45,1.24593377E10
46,1.30856653E10
47,1.36482693E10
48,1.4318251E10
49,1.4903679E10
50,1.55522857E10
