X,Y
0,612.0
1,8718907.0
2,1.9853544E7
3,3.2031846E7
4,4.6830068E7
5,6.3850956E7
6,8.3585872E7
7,1.06696752E8
8,1.30756352E8
9,1.57086112E8
10,1.90261632E8
11,2.2430184E8
12,2.62442752E8
13,3.08132256E8
14,3.5204928E8
15,3.96057024E8
16,4.52753728E8
17,5.07592928E8
18,5.7152518E8
19,6.3278118E8
20,6.9896858E8
21,7.7089914E8
22,8.5046682E8
23,9.2720781E8
24,1.01440045E9
25,1.10641882E9
26,1.19335987E9
27,1.29061222E9
28,1.39706253E9
29,1.50201587E9
30,1.61786598E9
31,1.71892774E9
32,1.83782643E9
33,1.95258893E9
34,2.09026931E9
35,2.20989338E9
36,2.35087565E9
37,2.4737024E9
38,2.62832614E9
39,2.77244442E9
40,2.92873062E9
41,3.07231949E9
42,3.22001075E9
43,3.36419712E9
44,3.54635827E9
45,3.71592397E9
46,3.88395904E9
47,4.05353165E9
48,4.24384307E9
49,4.4017024E9
50,4.6150543E9
