X,Y
0,0.0
1,2.3434262E7
2,5.485672E7
3,9.38E7
4,1.42532288E8
5,2.00352224E8
6,2.7168576E8
7,3.531688E8
8,4.51245728E8
9,5.5761549E8
10,6.8035584E8
11,8.1623904E8
12,9.7240826E8
13,1.13833856E9
14,1.32867482E9
15,1.52809984E9
16,1.74522931E9
17,1.98230323E9
18,2.22871194E9
19,2.5015785E9
20,2.79499955E9
21,3.09385088E9
22,3.43356058E9
23,3.77964826E9
24,4.13185203E9
25,4.5127962E9
26,4.9225984E9
27,5.3451136E9
28,5.7780357E9
29,6.2439081E9
30,6.7049928E9
31,7.1944279E9
32,7.7321825E9
33,8.2396928E9
34,8.7850803E9
35,9.3589371E9
36,9.9370813E9
37,1.05310403E10
38,1.11371561E10
39,1.17780654E10
40,1.24432538E10
41,1.31325706E10
42,1.37717893E10
43,1.44897772E10
44,1.52204042E10
45,1.59328891E10
46,1.66838866E10
47,1.74668595E10
48,1.82259343E10
49,1.90534246E10
50,1.98570455E10
